subject,accuracy
sub-cp013,0.16666666666666666
sub-cp039,0.3333333333333333
sub-cp009,0.375
sub-cp024,0.4166666666666667
sub-cp023,0.4166666666666667
sub-cp031,0.5
sub-cp016,0.5
sub-cp033,0.5
sub-cp036,0.5
sub-cp028,0.5454545454545454
sub-cp026,0.5714285714285714
sub-cp011,0.5833333333333334
sub-cp043,0.5833333333333334
sub-cp014,0.6666666666666666
sub-cp008,0.6666666666666666
sub-cp020,0.6666666666666666
sub-cp037,0.6666666666666666
sub-cp035,0.6666666666666666
sub-cp032,0.6666666666666666
sub-cp022,0.6666666666666666
sub-cp015,0.6666666666666666
sub-cp042,0.6666666666666666
sub-cp003,0.6666666666666666
sub-cp005,0.6666666666666666
sub-cp027,0.7272727272727273
sub-cp029,0.75
sub-cp038,0.75
sub-cp006,0.75
sub-cp018,0.75
sub-cp025,0.75
sub-cp030,0.8181818181818182
sub-cp019,0.8333333333333334
sub-cp017,0.8333333333333334
sub-cp004,0.9166666666666666
sub-cp012,1.0
