subject,model,accuracy,macro_f1,kappa,balanced_accuracy,n_test,feature_set,n_features
sub-cp017,ML_Model (Random Forest),0.5833333333333334,0.475,0.4444444444444444,0.5833333333333333,12,raw_only (baseline),27
sub-cp018,ML_Model (Random Forest),0.16666666666666666,0.09090909090909091,-0.11111111111111116,0.16666666666666666,12,raw_only (baseline),27
sub-cp019,ML_Model (Random Forest),0.25,0.1,0.0,0.25,12,raw_only (baseline),27
sub-cp020,ML_Model (Random Forest),0.5,0.4392857142857143,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp022,ML_Model (Random Forest),0.3333333333333333,0.25,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp023,ML_Model (Random Forest),0.5833333333333334,0.525,0.4444444444444444,0.5833333333333333,12,raw_only (baseline),27
sub-cp024,ML_Model (Random Forest),0.4166666666666667,0.34469696969696967,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp025,ML_Model (Random Forest),0.75,0.7202380952380952,0.6666666666666667,0.75,12,raw_only (baseline),27
sub-cp026,ML_Model (Random Forest),0.2857142857142857,0.25,0.05405405405405406,0.25,7,raw_only (baseline),27
sub-cp027,ML_Model (Random Forest),0.5454545454545454,0.44047619047619047,0.375,0.5,11,raw_only (baseline),27
sub-cp028,ML_Model (Random Forest),0.5454545454545454,0.4642857142857143,0.4148936170212767,0.5833333333333333,11,raw_only (baseline),27
sub-cp029,ML_Model (Random Forest),0.6666666666666666,0.675,0.5555555555555556,0.6666666666666666,12,raw_only (baseline),27
sub-cp030,ML_Model (Random Forest),0.7272727272727273,0.6166666666666667,0.625,0.6666666666666666,11,raw_only (baseline),27
sub-cp031,ML_Model (Random Forest),0.4166666666666667,0.369047619047619,0.2432432432432432,0.47916666666666663,12,raw_only (baseline),27
sub-cp032,ML_Model (Random Forest),0.25,0.25,0.0,0.25,12,raw_only (baseline),27
sub-cp033,ML_Model (Random Forest),0.5,0.42857142857142855,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp035,ML_Model (Random Forest),0.4166666666666667,0.34226190476190477,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp036,ML_Model (Random Forest),0.3333333333333333,0.25,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp037,ML_Model (Random Forest),0.75,0.7428571428571429,0.6666666666666667,0.75,12,raw_only (baseline),27
sub-cp038,ML_Model (Random Forest),0.4166666666666667,0.375,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp039,ML_Model (Random Forest),0.4166666666666667,0.35,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp042,ML_Model (Random Forest),0.3333333333333333,0.2403846153846154,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp043,ML_Model (Random Forest),0.4166666666666667,0.35416666666666663,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp003,ML_Model (SVM RBF),0.25,0.1,0.0,0.25,12,raw_only (baseline),27
sub-cp004,ML_Model (SVM RBF),0.6666666666666666,0.575,0.5555555555555556,0.6666666666666666,12,raw_only (baseline),27
sub-cp005,ML_Model (SVM RBF),0.3333333333333333,0.24285714285714285,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp006,ML_Model (SVM RBF),0.3333333333333333,0.23214285714285715,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp008,ML_Model (SVM RBF),0.4166666666666667,0.35,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp009,ML_Model (SVM RBF),0.0,0.0,-0.33333333333333326,0.0,8,raw_only (baseline),27
sub-cp011,ML_Model (SVM RBF),0.5,0.5,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp012,ML_Model (SVM RBF),0.5833333333333334,0.5113636363636364,0.4444444444444444,0.5833333333333334,12,raw_only (baseline),27
sub-cp013,ML_Model (SVM RBF),0.08333333333333333,0.0625,-0.22222222222222232,0.08333333333333333,12,raw_only (baseline),27
sub-cp014,ML_Model (SVM RBF),0.25,0.10714285714285714,0.0,0.25,12,raw_only (baseline),27
sub-cp015,ML_Model (SVM RBF),0.4166666666666667,0.35,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp016,ML_Model (SVM RBF),0.6666666666666666,0.6666666666666667,0.5555555555555556,0.6666666666666666,12,raw_only (baseline),27
sub-cp017,ML_Model (SVM RBF),0.4166666666666667,0.35,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp018,ML_Model (SVM RBF),0.5,0.428030303030303,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp019,ML_Model (SVM RBF),0.5,0.35064935064935066,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp020,ML_Model (SVM RBF),0.5833333333333334,0.5095238095238095,0.4444444444444444,0.5833333333333333,12,raw_only (baseline),27
sub-cp022,ML_Model (SVM RBF),0.75,0.6517857142857143,0.6666666666666667,0.75,12,raw_only (baseline),27
sub-cp023,ML_Model (SVM RBF),0.5833333333333334,0.5863636363636364,0.4444444444444444,0.5833333333333333,12,raw_only (baseline),27
sub-cp024,ML_Model (SVM RBF),0.5,0.38636363636363635,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp025,ML_Model (SVM RBF),0.9166666666666666,0.9142857142857144,0.8888888888888888,0.9166666666666666,12,raw_only (baseline),27
sub-cp026,ML_Model (SVM RBF),0.5714285714285714,0.45,0.41666666666666663,0.5,7,raw_only (baseline),27
sub-cp027,ML_Model (SVM RBF),0.2727272727272727,0.20833333333333331,0.1020408163265305,0.3333333333333333,11,raw_only (baseline),27
sub-cp028,ML_Model (SVM RBF),0.45454545454545453,0.4027777777777778,0.3052631578947369,0.5,11,raw_only (baseline),27
sub-cp029,ML_Model (SVM RBF),0.5,0.4444444444444444,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp030,ML_Model (SVM RBF),0.18181818181818182,0.12698412698412698,-0.042105263157894646,0.20833333333333331,11,raw_only (baseline),27
sub-cp031,ML_Model (SVM RBF),0.6666666666666666,0.6857142857142857,0.5555555555555556,0.7083333333333333,12,raw_only (baseline),27
sub-cp032,ML_Model (SVM RBF),0.4166666666666667,0.375,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp033,ML_Model (SVM RBF),0.3333333333333333,0.3392857142857143,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp035,ML_Model (SVM RBF),0.25,0.15,0.0,0.25,12,raw_only (baseline),27
sub-cp036,ML_Model (SVM RBF),0.3333333333333333,0.225,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp037,ML_Model (SVM RBF),0.4166666666666667,0.35,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp038,ML_Model (SVM RBF),0.4166666666666667,0.3611111111111111,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp039,ML_Model (SVM RBF),0.16666666666666666,0.07692307692307693,-0.11111111111111116,0.16666666666666666,12,raw_only (baseline),27
sub-cp042,ML_Model (SVM RBF),0.4166666666666667,0.35,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp043,ML_Model (SVM RBF),0.3333333333333333,0.25396825396825395,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp003,ML_Model (GBDT),0.4166666666666667,0.35,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp004,ML_Model (GBDT),0.5,0.41666666666666663,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp005,ML_Model (GBDT),0.4166666666666667,0.4325396825396825,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp006,ML_Model (GBDT),0.5,0.5142857142857142,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp008,ML_Model (GBDT),0.5833333333333334,0.5277777777777778,0.4444444444444444,0.5833333333333333,12,raw_only (baseline),27
sub-cp009,ML_Model (GBDT),0.25,0.1,0.0,0.25,8,raw_only (baseline),27
sub-cp011,ML_Model (GBDT),0.5,0.4777777777777778,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp012,ML_Model (GBDT),0.5833333333333334,0.5839285714285714,0.4444444444444444,0.5833333333333333,12,raw_only (baseline),27
sub-cp013,ML_Model (GBDT),0.25,0.20535714285714285,0.0,0.25,12,raw_only (baseline),27
sub-cp014,ML_Model (GBDT),0.5,0.5303571428571429,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp015,ML_Model (GBDT),0.5,0.5,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp016,ML_Model (GBDT),0.3333333333333333,0.21969696969696967,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp017,ML_Model (GBDT),0.6666666666666666,0.5809523809523809,0.5555555555555556,0.6666666666666666,12,raw_only (baseline),27
sub-cp018,ML_Model (GBDT),0.4166666666666667,0.2986111111111111,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp019,ML_Model (GBDT),0.3333333333333333,0.225,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp020,ML_Model (GBDT),0.3333333333333333,0.29166666666666663,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp022,ML_Model (GBDT),0.5833333333333334,0.5863636363636364,0.4444444444444444,0.5833333333333333,12,raw_only (baseline),27
sub-cp023,ML_Model (GBDT),0.5,0.43333333333333335,0.33333333333333337,0.5,12,raw_only (baseline),27
sub-cp024,ML_Model (GBDT),0.5833333333333334,0.5773809523809523,0.4444444444444444,0.5833333333333333,12,raw_only (baseline),27
sub-cp025,ML_Model (GBDT),0.6666666666666666,0.5684523809523809,0.5555555555555556,0.6666666666666666,12,raw_only (baseline),27
sub-cp026,ML_Model (GBDT),0.5714285714285714,0.5166666666666666,0.46153846153846156,0.625,7,raw_only (baseline),27
sub-cp027,ML_Model (GBDT),0.5454545454545454,0.5511904761904762,0.38888888888888884,0.5416666666666666,11,raw_only (baseline),27
sub-cp028,ML_Model (GBDT),0.8181818181818182,0.8333333333333333,0.7555555555555555,0.8333333333333333,11,raw_only (baseline),27
sub-cp029,ML_Model (GBDT),0.6666666666666666,0.5833333333333333,0.5555555555555556,0.6666666666666666,12,raw_only (baseline),27
sub-cp030,ML_Model (GBDT),0.7272727272727273,0.7208333333333333,0.6292134831460674,0.7083333333333333,11,raw_only (baseline),27
sub-cp031,ML_Model (GBDT),0.3333333333333333,0.26785714285714285,0.1504424778761061,0.41666666666666663,12,raw_only (baseline),27
sub-cp032,ML_Model (GBDT),0.4166666666666667,0.35,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp033,ML_Model (GBDT),0.5833333333333334,0.5208333333333333,0.4444444444444444,0.5833333333333333,12,raw_only (baseline),27
sub-cp035,ML_Model (GBDT),0.4166666666666667,0.36136363636363633,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp036,ML_Model (GBDT),0.3333333333333333,0.25,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp037,ML_Model (GBDT),0.5,0.4375,0.33333333333333337,0.49999999999999994,12,raw_only (baseline),27
sub-cp038,ML_Model (GBDT),0.4166666666666667,0.35119047619047616,0.2222222222222222,0.41666666666666663,12,raw_only (baseline),27
sub-cp039,ML_Model (GBDT),0.3333333333333333,0.3333333333333333,0.11111111111111116,0.3333333333333333,12,raw_only (baseline),27
sub-cp042,ML_Model (GBDT),0.25,0.11538461538461539,0.0,0.25,12,raw_only (baseline),27
sub-cp043,ML_Model (GBDT),0.75,0.7541666666666667,0.6666666666666667,0.7499999999999999,12,raw_only (baseline),27
