Strict_4Class_Acc,Adjacent_Acc (+/-1 Class),Binary_LowHigh_Acc (1-2 vs 3-4),Extreme_1v4_Acc,Macro_ROC_AUC,Macro_F1,Cohen_Kappa,Num_Features,Architecture
0.29292929292929293,0.6565656565656566,0.5328282828282829,0.23232323232323232,0.5455980923568411,0.27706228907308394,0.056002996815883055,9,1. Pure Absolute Deltas (Delta = Live - Baseline)
0.2601010101010101,0.6666666666666666,0.5303030303030303,0.2222222222222222,0.5344585791191137,0.25513481398626436,0.012779715817238246,8,2. Relative Percentage Surges (% Change from Rest)
0.29292929292929293,0.6691919191919192,0.5707070707070707,0.32323232323232326,0.5532040970183648,0.2737337117819574,0.05595477301365659,26,3. Baseline-Conditioned Equations (Delta + Baseline + Interactions)
0.3712121212121212,0.7424242424242424,0.6464646464646465,0.5252525252525253,0.6421217440132229,0.35656876722744985,0.1617016935319322,15,4. Hybrid Engine (Personalized Deltas + Real-Time Gaze Dynamics)
