Feature,VIF,Round
delta_HR,1.7486382473330946,1
delta_HRV_SDNN,31.461932869088088,1
delta_HRV_RMSSD,31.750097737201756,1
delta_HRV_LF_HF,1.9990418234200897,1
delta_EDA_tonic,5686170.848373713,1
delta_EDA_conductance,5686190.379633491,1
delta_EMG_flexor,7.470561487472465,1
delta_EMG_extensor,38.62398390339667,1
delta_pupil_diam,1.9613406553599726,1
overall_gaze_entropy_LY,27.611851753806615,1
gaze_entropy_y,2.1015029598644155,1
psd_max_LY,21.505168116659338,1
pupil_diam_kurt,1.4563009020619666,1
overall_gaze_entropy_RY,29.947378768452424,1
psd_max_RY,23.793919774128057,1
pupil_diam_kurt_R,107.22383582825769,1
fix_dur_skew,23.52249384916948,1
overall_gaze_entropy_RZ,98.05791100458768,1
pupil_diam_skew_R,66.27458580094714,1
pupil_diam_kurt_L,92.74243432268881,1
psd_max_RZ,34.35966309949505,1
fix_density_kurt,18.139264323157583,1
fix_density_skew,28.812202895917025,1
overall_gaze_entropy_LZ,91.2328613158661,1
psd_max_LZ,25.39041352150445,1
pupil_diam_stdev_R,12.022248899857503,1
pupil_diam_std_mm,5.684694109028412,1
pupil_diam_skew_L,59.37815922018865,1
fix_density_mean,29.185256398745153,1
pupil_diam_skew,1.830229082815565,1
fix_dur_stdev,2.3918314315584324,1
fix_dur_kurt,21.189033259667866,1
emg_extensor_rms_mV,37.00222204198257,1
fix_density_stdev,22.69859167578897,1
eyes_closed_fraction_R,6.453300011962289,1
emg_flexor_rms_mV,7.0428109587275305,1
eyes_closed_fraction_L,11.267398282649403,1
delta_HR,1.7371801760817907,2
delta_HRV_SDNN,31.45498046835174,2
delta_HRV_RMSSD,31.74672266829824,2
delta_HRV_LF_HF,1.998962112283952,2
delta_EDA_tonic,1.4519941194744581,2
delta_EMG_flexor,7.470546215416242,2
delta_EMG_extensor,38.62200568290931,2
delta_pupil_diam,1.960901762665542,2
overall_gaze_entropy_LY,27.49666745861002,2
gaze_entropy_y,2.0555131128252215,2
psd_max_LY,21.425745648872073,2
pupil_diam_kurt,1.4547249614506763,2
overall_gaze_entropy_RY,29.899673201160837,2
psd_max_RY,23.75887732985065,2
pupil_diam_kurt_R,106.08224016472512,2
fix_dur_skew,23.521885075378368,2
overall_gaze_entropy_RZ,96.16245961506026,2
pupil_diam_skew_R,66.04762624844507,2
pupil_diam_kurt_L,91.89612506630343,2
psd_max_RZ,34.24765156410211,2
fix_density_kurt,18.12708982584065,2
fix_density_skew,28.750076291460214,2
overall_gaze_entropy_LZ,89.27818394564403,2
psd_max_LZ,25.389148422532294,2
pupil_diam_stdev_R,11.982624081902868,2
pupil_diam_std_mm,5.675482602259798,2
pupil_diam_skew_L,59.192257910797835,2
fix_density_mean,29.163430215296472,2
pupil_diam_skew,1.82894826876801,2
fix_dur_stdev,2.3918162716854097,2
fix_dur_kurt,21.185494309875594,2
emg_extensor_rms_mV,37.0011454032125,2
fix_density_stdev,22.68733767564006,2
eyes_closed_fraction_R,6.452687881976408,2
emg_flexor_rms_mV,7.037709694927299,2
eyes_closed_fraction_L,11.25219776394646,2
delta_HR,1.7225457783943219,3
delta_HRV_SDNN,30.947843998678103,3
delta_HRV_RMSSD,31.06941728256063,3
delta_HRV_LF_HF,1.984607278672202,3
delta_EDA_tonic,1.444568698127277,3
delta_EMG_flexor,7.452555340077429,3
delta_EMG_extensor,38.58089133861755,3
delta_pupil_diam,1.9340296185095225,3
overall_gaze_entropy_LY,27.022695054886263,3
gaze_entropy_y,2.0185419166091725,3
psd_max_LY,21.371978136283797,3
pupil_diam_kurt,1.4456644794694793,3
overall_gaze_entropy_RY,29.444142684420537,3
psd_max_RY,23.701543764145104,3
fix_dur_skew,23.451991539830697,3
overall_gaze_entropy_RZ,70.78076619645027,3
pupil_diam_skew_R,14.900485344183267,3
pupil_diam_kurt_L,32.168068006382285,3
psd_max_RZ,26.348307804473333,3
fix_density_kurt,17.745326089718375,3
fix_density_skew,27.826554388175786,3
overall_gaze_entropy_LZ,76.5579591039696,3
psd_max_LZ,24.360945692922165,3
pupil_diam_stdev_R,11.080150379971503,3
pupil_diam_std_mm,5.151069421661249,3
pupil_diam_skew_L,29.056585337634186,3
fix_density_mean,28.44148918271865,3
pupil_diam_skew,1.8190488639035542,3
fix_dur_stdev,2.3795293172828798,3
fix_dur_kurt,21.14040425966725,3
emg_extensor_rms_mV,36.859527236875216,3
fix_density_stdev,22.252536387194624,3
eyes_closed_fraction_R,6.377031488923877,3
emg_flexor_rms_mV,7.035830195729121,3
eyes_closed_fraction_L,10.943219304466217,3
delta_HR,1.7150607840737961,4
delta_HRV_SDNN,30.40619322873042,4
delta_HRV_RMSSD,30.65905957153902,4
delta_HRV_LF_HF,1.9742521075774877,4
delta_EDA_tonic,1.4387021126168096,4
delta_EMG_flexor,7.4525530841637115,4
delta_EMG_extensor,38.56359552154061,4
delta_pupil_diam,1.9307445095151072,4
overall_gaze_entropy_LY,26.91595548686958,4
gaze_entropy_y,1.9834091962984273,4
psd_max_LY,21.255226387584937,4
pupil_diam_kurt,1.4454101265958204,4
overall_gaze_entropy_RY,28.527288876861277,4
psd_max_RY,22.910532653802196,4
fix_dur_skew,23.444985488622024,4
overall_gaze_entropy_RZ,28.489342219998147,4
pupil_diam_skew_R,14.391690103852248,4
pupil_diam_kurt_L,26.717011063457676,4
psd_max_RZ,25.14279609288117,4
fix_density_kurt,17.21975633024865,4
fix_density_skew,27.46416441256154,4
psd_max_LZ,15.278147639383041,4
pupil_diam_stdev_R,10.666456324029715,4
pupil_diam_std_mm,5.0510206580069585,4
pupil_diam_skew_L,27.574441225890087,4
fix_density_mean,27.928423133291293,4
pupil_diam_skew,1.8044249738173959,4
fix_dur_stdev,2.371529535672688,4
fix_dur_kurt,21.107787450019398,4
