Difficulty_Class,Feature,Beta_Coefficient (Standardized),Odds_Ratio,Feature_Mean,Feature_Std
Level_1,overall_gaze_entropy_LY,-0.1784529927497984,0.8365633804972742,17.331703196095358,0.6066162870711456
Level_1,gaze_entropy_y,0.3506822284124186,1.4200360071114446,2.215097059853948,0.2558059725943532
Level_1,psd_max_LY,0.2666033841755098,1.3055225527314027,1.9721274414132435e-05,8.746964278700514e-06
Level_1,pupil_diam_kurt,-0.3654398697021022,0.6938913619525535,1.0242227640361188,1.844608213875334
Level_1,overall_gaze_entropy_RY,0.31433142862864316,1.3693435009866326,17.373394936733444,0.6142466841074129
Level_1,psd_max_RY,0.2195369487512335,1.2454998667702863,1.9150614336856703e-05,8.037604813628826e-06
Level_1,pupil_diam_kurt_R,0.3704579596879866,1.4483977705934943,28.160507433881506,17.527579664639294
Level_1,fix_dur_skew,1.3450260287367557,3.838286445047217,3.359480054731336,1.928896178633093
Level_1,overall_gaze_entropy_RZ,-0.8091073604654513,0.4452553414055024,15.792777017499597,1.258766493497419
Level_1,pupil_diam_skew_R,0.9453130721323038,2.5736189808580106,-4.654899528359401,1.1808649163669185
Level_1,pupil_diam_kurt_L,0.23135319303754878,1.2603042915509217,26.814647261580596,17.282750902450818
Level_1,psd_max_RZ,0.7169753256293815,2.0482286073481037,6.469911299143694e-05,4.180097462326659e-05
Level_1,fix_density_kurt,0.24500006706239855,1.2776213988852392,58.40923811963791,149.39524612249664
Level_1,fix_density_skew,-0.2957746303172249,0.7439550740473411,6.34849058157337,4.264878316046285
Level_1,overall_gaze_entropy_LZ,-0.2874830065889459,0.7501493142583191,15.688409996639878,1.2621988943566185
Level_1,psd_max_LZ,-0.6087500361733231,0.5440304626512467,7.232551067635191e-05,5.5920249112382916e-05
Level_1,pupil_diam_stdev_R,-1.0951401564479548,0.33449272235126354,0.7937053532509355,0.23674987980039172
Level_1,pupil_diam_std_mm,0.3829011475905587,1.4665330525770568,0.2984655473212154,0.09442394865525475
Level_1,pupil_diam_skew_L,-0.5272111747076241,0.5902487771855893,-4.529061059130893,1.3187594907870634
Level_1,fix_density_mean,-0.8219490708811162,0.43957405802273836,0.016840159399632522,0.008942058081758164
Level_1,pupil_diam_skew,-0.5152660988577205,0.597341621544737,0.008551239091781751,0.6460199319801767
Level_1,fix_dur_stdev,0.1668898420678777,1.1816240928721133,1.4431980143872685e-06,6.417518309842395e-07
Level_1,fix_dur_kurt,-1.2024685743561898,0.3004516085673398,25.114367883640345,55.023866057497315
Level_1,emg_extensor_rms_mV,0.3308231093407526,1.3921135186490203,0.011957656901153968,0.009477266038151147
Level_1,fix_density_stdev,0.8633548184997363,2.37110198226163,0.06775918855281468,0.022613223718465015
Level_1,eyes_closed_fraction_R,0.20632465229293462,1.229152186302196,0.032824759470737506,0.054631794849085875
Level_1,emg_flexor_rms_mV,-0.15009145595678336,0.8606292631530165,0.011633901195509087,0.006823870794563135
Level_1,eyes_closed_fraction_L,0.2674171848862116,1.3065854203351994,0.036534645521714405,0.0887465338904227
Level_2,overall_gaze_entropy_LY,-0.33035709206080055,0.7186670573056275,17.331703196095358,0.6066162870711456
Level_2,gaze_entropy_y,0.18455901849257797,1.2026879600207652,2.215097059853948,0.2558059725943532
Level_2,psd_max_LY,-0.13937289913080414,0.8699035816795586,1.9721274414132435e-05,8.746964278700514e-06
Level_2,pupil_diam_kurt,-0.1962853651103711,0.8217776945324902,1.0242227640361188,1.844608213875334
Level_2,overall_gaze_entropy_RY,0.17456188580705076,1.1907244290471783,17.373394936733444,0.6142466841074129
Level_2,psd_max_RY,0.002952292600332517,1.0029566549080113,1.9150614336856703e-05,8.037604813628826e-06
Level_2,pupil_diam_kurt_R,-0.24029331151750846,0.7863971678890465,28.160507433881506,17.527579664639294
Level_2,fix_dur_skew,-0.28884215877319397,0.7491304397389437,3.359480054731336,1.928896178633093
Level_2,overall_gaze_entropy_RZ,0.5397698624923595,1.7156119900816849,15.792777017499597,1.258766493497419
Level_2,pupil_diam_skew_R,0.10759333377083652,1.1135947918974292,-4.654899528359401,1.1808649163669185
Level_2,pupil_diam_kurt_L,0.2266173751055909,1.254349830637525,26.814647261580596,17.282750902450818
Level_2,psd_max_RZ,0.30555916101002273,1.3573837869345509,6.469911299143694e-05,4.180097462326659e-05
Level_2,fix_density_kurt,0.466723931320469,1.5947610790546525,58.40923811963791,149.39524612249664
Level_2,fix_density_skew,-0.5802553917513277,0.5597553913991156,6.34849058157337,4.264878316046285
Level_2,overall_gaze_entropy_LZ,0.01204789642170928,1.012120764668125,15.688409996639878,1.2621988943566185
Level_2,psd_max_LZ,0.10773487884988757,1.1137524269162467,7.232551067635191e-05,5.5920249112382916e-05
Level_2,pupil_diam_stdev_R,0.2596691457628471,1.2965010628273983,0.7937053532509355,0.23674987980039172
Level_2,pupil_diam_std_mm,-0.266641271316334,0.765947789630116,0.2984655473212154,0.09442394865525475
Level_2,pupil_diam_skew_L,0.1389860208050967,1.1491080362861221,-4.529061059130893,1.3187594907870634
Level_2,fix_density_mean,-0.45443455623959267,0.6348068140370875,0.016840159399632522,0.008942058081758164
Level_2,pupil_diam_skew,-0.04654979504832621,0.9545170291649704,0.008551239091781751,0.6460199319801767
Level_2,fix_dur_stdev,-0.0021597554184826766,0.9978425751751119,1.4431980143872685e-06,6.417518309842395e-07
Level_2,fix_dur_kurt,0.353194935054802,1.4236086276128666,25.114367883640345,55.023866057497315
Level_2,emg_extensor_rms_mV,0.017034283659933362,1.0171801943873418,0.011957656901153968,0.009477266038151147
Level_2,fix_density_stdev,0.3492885085307888,1.418058253233295,0.06775918855281468,0.022613223718465015
Level_2,eyes_closed_fraction_R,-0.2573987068123415,0.7730599280520634,0.032824759470737506,0.054631794849085875
Level_2,emg_flexor_rms_mV,-0.23911254061817958,0.7873262712013335,0.011633901195509087,0.006823870794563135
Level_2,eyes_closed_fraction_L,0.17007122249177986,1.1853892746917811,0.036534645521714405,0.0887465338904227
Level_3,overall_gaze_entropy_LY,0.16432199228823285,1.1785937521006844,17.331703196095358,0.6066162870711456
Level_3,gaze_entropy_y,-0.09219006377346858,0.9119318078720758,2.215097059853948,0.2558059725943532
Level_3,psd_max_LY,-0.2896531777550403,0.7485231270367896,1.9721274414132435e-05,8.746964278700514e-06
Level_3,pupil_diam_kurt,0.37326932882714786,1.45247548067533,1.0242227640361188,1.844608213875334
Level_3,overall_gaze_entropy_RY,-0.39271496161211156,0.6752211841167198,17.373394936733444,0.6142466841074129
Level_3,psd_max_RY,-0.10927098609067902,0.89648744895004,1.9150614336856703e-05,8.037604813628826e-06
Level_3,pupil_diam_kurt_R,0.2586004977245418,1.295116299554009,28.160507433881506,17.527579664639294
Level_3,fix_dur_skew,-0.3286529120511919,0.7198928395183608,3.359480054731336,1.928896178633093
Level_3,overall_gaze_entropy_RZ,0.25261110566706024,1.2873825237031202,15.792777017499597,1.258766493497419
Level_3,pupil_diam_skew_R,-0.5031470374002921,0.6046248853865085,-4.654899528359401,1.1808649163669185
Level_3,pupil_diam_kurt_L,-0.5077650082595517,0.6018391823832329,26.814647261580596,17.282750902450818
Level_3,psd_max_RZ,-0.3533414301241026,0.7023373533055578,6.469911299143694e-05,4.180097462326659e-05
Level_3,fix_density_kurt,-0.43287333113282034,0.6486426494310673,58.40923811963791,149.39524612249664
Level_3,fix_density_skew,0.4582439619212201,1.5812947317087185,6.34849058157337,4.264878316046285
Level_3,overall_gaze_entropy_LZ,0.24170028727018084,1.2734124776867373,15.688409996639878,1.2621988943566185
Level_3,psd_max_LZ,-0.08049828815883904,0.9226564830237498,7.232551067635191e-05,5.5920249112382916e-05
Level_3,pupil_diam_stdev_R,0.9095442484344674,2.4831905574704294,0.7937053532509355,0.23674987980039172
Level_3,pupil_diam_std_mm,-0.5943571788858918,0.5519172359134052,0.2984655473212154,0.09442394865525475
Level_3,pupil_diam_skew_L,0.41274746416285996,1.510963405341128,-4.529061059130893,1.3187594907870634
Level_3,fix_density_mean,0.43113007618022103,1.5389957236227754,0.016840159399632522,0.008942058081758164
Level_3,pupil_diam_skew,0.11250538167828938,1.1190782794158554,0.008551239091781751,0.6460199319801767
Level_3,fix_dur_stdev,0.10444746756952555,1.1100970762369695,1.4431980143872685e-06,6.417518309842395e-07
Level_3,fix_dur_kurt,0.2742524412298325,1.3155468585914891,25.114367883640345,55.023866057497315
Level_3,emg_extensor_rms_mV,-0.08154423074041088,0.9216919418352759,0.011957656901153968,0.009477266038151147
Level_3,fix_density_stdev,-0.3366660542183525,0.7141472865601982,0.06775918855281468,0.022613223718465015
Level_3,eyes_closed_fraction_R,0.011788398291891405,1.0118581552973378,0.032824759470737506,0.054631794849085875
Level_3,emg_flexor_rms_mV,-0.03042735477761179,0.9700308976179677,0.011633901195509087,0.006823870794563135
Level_3,eyes_closed_fraction_L,-0.1325399647436862,0.8758679295694259,0.036534645521714405,0.0887465338904227
Level_4,overall_gaze_entropy_LY,0.3444880925223666,1.4112672964433346,17.331703196095358,0.6066162870711456
Level_4,gaze_entropy_y,-0.4430511831315273,0.6420743428712141,2.215097059853948,0.2558059725943532
Level_4,psd_max_LY,0.16242269271033197,1.176357373933139,1.9721274414132435e-05,8.746964278700514e-06
Level_4,pupil_diam_kurt,0.1884559059853265,1.2073838434119424,1.0242227640361188,1.844608213875334
Level_4,overall_gaze_entropy_RY,-0.09617835282358239,0.9083020033944558,17.373394936733444,0.6142466841074129
Level_4,psd_max_RY,-0.1132182552608888,0.8929557465569075,1.9150614336856703e-05,8.037604813628826e-06
