Workload_Level,Feature,Beta_Weight (Standardized),Odds_Ratio,Feature_Mean,Feature_Std
Level_1,delta_HR,-0.11982666161993931,0.8870741873939625,5.289496913841665,7.871779433997407
Level_1,delta_HRV_SDNN,0.12120338975730344,1.1288544864600751,-8.873026124920166,79.17927533265538
Level_1,delta_HRV_RMSSD,-0.28245393339765346,0.7539313722160828,-12.988808803118404,99.64562699615595
Level_1,delta_HRV_LF_HF,-0.04721051640951908,0.9538865676768009,0.5043111701689312,3.8288593172610565
Level_1,delta_EDA_tonic,-0.010102033438217892,0.9899488207140649,0.8575880983308664,1.6366429655261037
Level_1,delta_EDA_conductance,-0.007135437917078626,0.9928899588784018,0.8576205559381448,1.636606458643705
Level_1,delta_EMG_flexor,0.023900324444096635,1.0241882262718833,0.007671386878007188,0.006649684749207342
Level_1,delta_EMG_extensor,0.015192022901099443,1.015308008287556,0.008441454179001134,0.008243067056518715
Level_1,delta_pupil_diam,-0.09131124761670477,0.9127335805324827,-0.30539491722206824,0.3438918330470734
Level_1,fused_gaze_entropy_Y,-0.37345108818489997,0.6883546541485249,17.352550164378787,0.5988937659569361
Level_1,fused_psd_max_Y,0.12440507054697873,1.1324745101715683,1.9436828263669603e-05,8.182892821789818e-06
Level_1,fix_density_mean,0.15549880237690494,1.1682405369545665,0.016840159399632522,0.008942058081758164
Level_1,fix_dur_kurt,0.038845521910287624,1.0396098742977367,25.114367883640345,55.023866057497315
Level_1,pupil_diam_kurt,-0.44978901776177044,0.6377626940288906,1.0242227640361188,1.844608213875334
Level_1,pupil_diam_skew,-0.42684734335963526,0.6525631627246524,0.008551239091781751,0.6460199319801767
Level_2,delta_HR,-0.04441167952302806,0.95656008020544,5.289496913841665,7.871779433997407
Level_2,delta_HRV_SDNN,0.02222527702976801,1.0224740984551537,-8.873026124920166,79.17927533265538
Level_2,delta_HRV_RMSSD,-0.0357085980472774,0.96492143250856,-12.988808803118404,99.64562699615595
Level_2,delta_HRV_LF_HF,0.010247069373708974,1.0102997503772886,0.5043111701689312,3.8288593172610565
Level_2,delta_EDA_tonic,-0.031769842199642455,0.9687295170778911,0.8575880983308664,1.6366429655261037
Level_2,delta_EDA_conductance,-0.033925401347747755,0.9666436122585903,0.8576205559381448,1.636606458643705
Level_2,delta_EMG_flexor,-0.07378808920300302,0.9288685102531025,0.007671386878007188,0.006649684749207342
Level_2,delta_EMG_extensor,-0.10172006402918377,0.9032823775089714,0.008441454179001134,0.008243067056518715
Level_2,delta_pupil_diam,0.026387744925680454,1.0267389841313972,-0.30539491722206824,0.3438918330470734
Level_2,fused_gaze_entropy_Y,-0.1291659103287794,0.8788281467827249,17.352550164378787,0.5988937659569361
Level_2,fused_psd_max_Y,-0.020919221743406137,0.9792980673650911,1.9436828263669603e-05,8.182892821789818e-06
Level_2,fix_density_mean,0.10276784071068665,1.1082340923686538,0.016840159399632522,0.008942058081758164
Level_2,fix_dur_kurt,0.047010570900877874,1.0481330887320823,25.114367883640345,55.023866057497315
Level_2,pupil_diam_kurt,-0.09590260728321162,0.908552498156021,1.0242227640361188,1.844608213875334
Level_2,pupil_diam_skew,0.0005343791310192063,1.0005345219369834,0.008551239091781751,0.6460199319801767
Level_3,delta_HR,0.00677339824202952,1.0067963895844279,5.289496913841665,7.871779433997407
Level_3,delta_HRV_SDNN,-0.64127693250871,0.5266195369123492,-8.873026124920166,79.17927533265538
Level_3,delta_HRV_RMSSD,0.7433941363551243,2.1030614918504784,-12.988808803118404,99.64562699615595
Level_3,delta_HRV_LF_HF,0.09792538369706977,1.1028804891735606,0.5043111701689312,3.8288593172610565
Level_3,delta_EDA_tonic,0.05326883660420262,1.054713152511395,0.8575880983308664,1.6366429655261037
Level_3,delta_EDA_conductance,0.05096154708909903,1.0522824291827357,0.8576205559381448,1.636606458643705
Level_3,delta_EMG_flexor,-0.17633195980852479,0.8383396420735123,0.007671386878007188,0.006649684749207342
Level_3,delta_EMG_extensor,0.1746864087367683,1.1908727107736155,0.008441454179001134,0.008243067056518715
Level_3,delta_pupil_diam,0.019221998022923504,1.0194079300444865,-0.30539491722206824,0.3438918330470734
Level_3,fused_gaze_entropy_Y,-0.0893353729944877,0.9145388105178462,17.352550164378787,0.5988937659569361
Level_3,fused_psd_max_Y,-0.3457312423044185,0.7077026620864816,1.9436828263669603e-05,8.182892821789818e-06
Level_3,fix_density_mean,-0.013081016276475498,0.9870041683784437,0.016840159399632522,0.008942058081758164
Level_3,fix_dur_kurt,0.034326748066833855,1.0349227104827083,25.114367883640345,55.023866057497315
Level_3,pupil_diam_kurt,0.459201878612161,1.5828102060587228,1.0242227640361188,1.844608213875334
Level_3,pupil_diam_skew,-0.003029656515546446,0.996974928262485,0.008551239091781751,0.6460199319801767
Level_4,delta_HR,0.15746494290093696,1.1705397215354134,5.289496913841665,7.871779433997407
Level_4,delta_HRV_SDNN,0.4978482657216389,1.6451774746475234,-8.873026124920166,79.17927533265538
Level_4,delta_HRV_RMSSD,-0.4252316049101924,0.6536183863705005,-12.988808803118404,99.64562699615595
Level_4,delta_HRV_LF_HF,-0.06096193666126013,0.940859051331229,0.5043111701689312,3.8288593172610565
Level_4,delta_EDA_tonic,-0.011396960966344119,0.9886677383680977,0.8575880983308664,1.6366429655261037
Level_4,delta_EDA_conductance,-0.00990070782427177,0.990148142831821,0.8576205559381448,1.636606458643705
Level_4,delta_EMG_flexor,0.22621972456743125,1.253851136911817,0.007671386878007188,0.006649684749207342
Level_4,delta_EMG_extensor,-0.0881583676086856,0.9156158613463234,0.008441454179001134,0.008243067056518715
Level_4,delta_pupil_diam,0.04570150466810249,1.0467619107753603,-0.30539491722206824,0.3438918330470734
Level_4,fused_gaze_entropy_Y,0.5919523715081659,1.8075139114002543,17.352550164378787,0.5988937659569361
Level_4,fused_psd_max_Y,0.2422453935008452,1.274106811988314,1.9436828263669603e-05,8.182892821789818e-06
Level_4,fix_density_mean,-0.24518562681111683,0.7825592607785009,0.016840159399632522,0.008942058081758164
Level_4,fix_dur_kurt,-0.12018284087800034,0.8867582862301121,25.114367883640345,55.023866057497315
Level_4,pupil_diam_kurt,0.08648974643282108,1.090340187784099,1.0242227640361188,1.844608213875334
Level_4,pupil_diam_skew,0.4293426207441629,1.536247294429635,0.008551239091781751,0.6460199319801767
